名前	ふりがな	アドレス	性別	年齢	誕生日	婚姻	都道府県	電話番号	携帯	キャリア	カレーの食べ方
滝 奈々	たき なな	taki_nana@example.com	女	55	1965/1/28	既婚	埼玉県	0 6-725-6733	090-8111-7703	ドコモ	右ルー・せき止め派
南部 賢治	なんぶ けんじ	nannbu_kenji@example.com	男	69	1950/4/23	既婚	青森県	031-236-8007	080-2586-2360	ソフトバンク	手前ルー・別口派
増井 光臣	ますい みつおみ	masui_mitsuomi@example.com	男	74	1945/7/5	既婚	神奈川県	079-979-3836	080-3383-7982	ソフトバンク	左ルー・せき止め派
小寺 俊介	こでら しゅんすけ	kodera_shunsuke@example.com	男	71	1949/1/28	既婚	東京都	078-874-1178	090-5909-1221	ドコモ	右ルー・混ぜ混ぜ派
福田 芽以	ふくだ めい	fukuda_mei@example.com	女	48	1971/9/17	既婚	三重県	057-982-7214	090-4383-8392	ドコモ	ぶっかけ・ルー攻め派
鹿手袋 寿明	しかてぶくろ としあき	shikatebukuro_toshiaki@example.com	男	55	1964/11/20	既婚	神奈川県	097-992- 605	080-6033-1558	ドコモ	ぶっかけ・混ぜ混ぜ派
永野 みあ	ながの みあ	nagano_mia@example.com	女	46	1974/1/27	既婚	福岡県	059-976-5474	080-7184-5571	ドコモ	右ルー・ルー攻め派
新垣 光	にいがき ひかる	niigaki_hikaru@example.com	女	28	1991/5/4	既婚	長野県	066-779-7128	090-6416-9211	ドコモ	ぶっかけ・ルー攻め派
大久保 礼子	おおくぼ れいこ	ookubo_reiko@example.com	女	28	1991/4/22	既婚	長野県	087-465-3758	080- 205-7727	ドコモ	右ルー・ルー攻め派
とよた マサカズ	とよた まさかず	toyota_masakazu@example.com	男	78	1941/8/31	既婚	新潟県	0 2-905-7757	080-5942-5112	au	右ルー・混ぜ混ぜ派
志村 雅彦	しむら まさひこ	shimura_masahiko@example.com	男	54	1965/4/18	既婚	静岡県	067-775- 482	080-9583-9688	ソフトバンク	手前ルー・別口派
永井 一徳	ながい いっとく	nagai_ittoku@example.com	男	27	1992/3/29	既婚	兵庫県	0 1-309-9342	090-9923-3246	ドコモ	奥ルー・別口派
水谷 薫	みずたに かおる	mizutani_kaoru@example.com	男	42	1978/2/19	既婚	岩手県	098-255-5606	090-7665-4681	ドコモ	右ルー・ナン派
早川 はるみ	はやかわ はるみ	hayakawa_harumi@example.com	女	28	1991/12/5	既婚	兵庫県	021-106-2761	090-8068-3074	ソフトバンク	右ルー・せき止め派
竹中 結衣	たけなか ゆい	takenaka_yui@example.com	女	66	1953/6/7	既婚	愛知県	075- 72- 421	080- 922-5345	ドコモ	左ルー・混ぜ混ぜ派
麻生 徹	あそう とおる	asou_tohru@example.com	男	77	1942/8/24	既婚	東京都	089-661-8803	080-6175-9350	ソフトバンク	奥ルー・混ぜ混ぜ派
杉本 裕次郎	すぎもと ゆうじろう	sugimoto_yuujirou@example.com	男	70	1949/4/7	既婚	長野県	078-303-7145	090-8717-7226	ソフトバンク	左ルー・ルー攻め派
石本 貴嶺	いしもと たかね	ishimoto_takane@example.com	男	76	1943/9/30	既婚	群馬県	060-809-5110	080-6718-3144	ドコモ	左ルー・混ぜ混ぜ派
原田 サダヲ	はらだ さだお	harada_sadawo@example.com	男	78	1941/3/30	既婚	新潟県	049-925-8776	080-3321-8133	au	奥ルー・せき止め派
桑田 まなみ	くわた まなみ	kuwata_manami@example.com	女	50	1969/10/28	既婚	静岡県	094-812-2585	080-1777-1606	ドコモ	ぶっかけ・混ぜ混ぜ派
内野 マサカズ	うちの まさかず	uchino_masakazu@example.com	男	48	1971/2/23	既婚	熊本県	092-433-7301	080-4673-2360	ドコモ	ぶっかけ・混ぜ混ぜ派
加納 朝香	かのう あさか	kanou_asaka@example.com	女	74	1945/3/3	既婚	沖縄県	093- 29-1294	080-5095-9364	ドコモ	左ルー・混ぜ混ぜ派
福井 郁恵	ふくい いくえ	fukui_ikue@example.com	女	78	1941/2/27	既婚	佐賀県	014-779-9297	090- 626-2509	ドコモ	奥ルー・ルー攻め派
長崎 陽子	ながさき ようこ	nagasaki_youko@example.com	女	30	1989/9/15	既婚	静岡県	088-807-4029	090-7698-5810	ドコモ	ぶっかけ・ナン派
吉川 恵梨香	よしかわ えりか	yoshikawa_erika@example.com	女	37	1983/2/8	既婚	高知県	076-913-9052	080-4933- 544	ドコモ	右ルー・せき止め派
徳永 雅彦	とくなが まさひこ	tokunaga_masahiko@example.com	男	65	1955/1/2	既婚	大阪府	022-575-3214	080-8790-6084	ドコモ	左ルー・別口派
江崎 雅之	えざき まさゆき	ezaki_masayuki@example.com	男	33	1986/7/18	既婚	埼玉県	051-907-2188	090-8356-8118	ソフトバンク	右ルー・ルー攻め派
満島 倫子	みつしま のりこ	mitsushima_noriko@example.com	女	41	1978/7/23	既婚	埼玉県	095-755-2372	090-3813-5479	ドコモ	左ルー・混ぜ混ぜ派
小幡 淳	おばた あつし	obata_atsushi@example.com	男	66	1953/4/20	既婚	秋田県	028-432-1081	090-2994-1570	ソフトバンク	ぶっかけ・せき止め派
香椎 弘也	かしい ひろなり	kashii_hironari@example.com	男	59	1960/5/22	既婚	和歌山県	056-275- 630	080-1901-1270	au	右ルー・混ぜ混ぜ派
矢島 なぎさ	やじま なぎさ	yajima_nagisa@example.com	女	43	1976/11/13	既婚	長野県	052- 72-9235	090-1117-9533	ドコモ	右ルー・ナン派
小高 芽以	こだか めい	kodaka_mei@example.com	女	29	1990/7/9	既婚	長野県	046-757-8253	090-6027-8011	ドコモ	左ルー・混ぜ混ぜ派
滝 米蔵	たき よねぞう	taki_yonezou@example.com	男	52	1967/3/24	未婚	北海道	083-683-4740	090-5414- 803	ソフトバンク	右ルー・別口派
高岡 郁恵	たかおか いくえ	takaoka_ikue@example.com	女	30	1989/10/2	既婚	愛知県	0  -633-8602	090-7455-7897	au	左ルー・せき止め派
