名前	ふりがな	アドレス	性別	年齢	誕生日	婚姻	都道府県	携帯	キャリア	カレーの食べ方
塩見 きみまろ	しおみ きみまろ	shiomi_kimimaro@example.com	男	74	1946/1/30	既婚	埼玉県	080-8301-3453	ソフトバンク	左ルー・別口派
中本 由樹	なかもと ゆき	nakamoto_yuki@example.com	女	70	1949/11/7	既婚	静岡県	090-5648-4210	ドコモ	左ルー・ルー攻め派
秋本 克実	あきもと かつみ	akimoto_katsumi@example.com	男	37	1982/7/31	既婚	京都府	080-1323-1637	ドコモ	右ルー・ルー攻め派
浜田 淳子	はまだ あつこ	hamada_atsuko@example.com	女	75	1944/6/8	既婚	富山県	090-7854-7468	ツーカー	左ルー・ルー攻め派
伊崎 丈雄	いさき たけお	isaki_takeo@example.com	男	43	1976/12/19	既婚	埼玉県	080-8131-4079	ドコモ	左ルー・せき止め派
下村 涼子	しもむら りょうこ	shimomura_ryouko@example.com	女	77	1942/8/11	既婚	福岡県	090-8398-5445	ドコモ	左ルー・ナン派
長田 一代	ながた かずよ	nagata_kazuyo@example.com	女	49	1970/12/17	既婚	愛媛県	090-7111-7045	ドコモ	手前ルー・ルー攻め派
大沢 寛	おおさわ ひろし	oosawa_hiroshi@example.com	男	31	1988/6/21	未婚	鹿児島県	080-6325-1517	au	右ルー・せき止め派
野島 優	のじま ゆう	nojima_yuu@example.com	女	42	1977/9/22	既婚	茨城県	080-9693-7155	au	右ルー・混ぜ混ぜ派
上条 だん吉	かみじょう だんきち	kamijou_dankichi@example.com	男	27	1992/11/19	未婚	兵庫県	090-5138-6119	ドコモ	奥ルー・別口派
日下 祐基	ひのした ゆうき	hinoshita_yuuki@example.com	男	72	1948/2/13	既婚	埼玉県	080-2512-7984	ドコモ	左ルー・ルー攻め派
妻夫木 雄太	つまぶき ゆうた	tsumabuki_yuuta@example.com	男	24	1995/4/5	未婚	長崎県	080-9094-2355	ソフトバンク	手前ルー・ルー攻め派
宮崎 麻緒	みやざき まお	miyazaki_mao@example.com	女	27	1992/7/16	既婚	大阪府	090-1417-4347	ドコモ	右ルー・ルー攻め派
藤村 里穂	ふじむら りほ	fujimura_riho@example.com	女	48	1971/5/23	既婚	熊本県	090-8919-5926	ソフトバンク	左ルー・混ぜ混ぜ派
細谷 光洋	ほそや みつひろ	hosoya_mitsuhiro@example.com	男	64	1955/8/9	既婚	愛知県	090-4428-5261	ドコモ	ぶっかけ・ナン派
蒼井 あおい	あおい あおい	aoi_aoi@example.com	女	51	1969/2/9	既婚	福岡県	090-8015-1332	ソフトバンク	ぶっかけ・ルー攻め派
相武 丈雄	あいぶ たけお	aibu_takeo@example.com	男	33	1986/8/10	未婚	神奈川県	080-3739-4469	ツーカー	手前ルー・ナン派
野本 寿々花	のもと すずか	nomoto_suzuka@example.com	女	75	1944/10/13	既婚	東京都	080- 184-8040	au	手前ルー・混ぜ混ぜ派
境 裕司	さかい ゆうじ	sakai_yuuji@example.com	男	28	1991/6/2	既婚	北海道	090-1269- 980	au	手前ルー・せき止め派
石坂 窈	いしざか よう	ishizaka_you@example.com	女	70	1950/1/6	既婚	和歌山県	090-6619-7001	ソフトバンク	左ルー・せき止め派
水嶋 英嗣	みずしま ひでつぐ	mizushima_hidetsugu@example.com	男	41	1978/10/16	既婚	福岡県	090-4442-8544	au	ぶっかけ・混ぜ混ぜ派
戎 扶樹	えびす もとき	ebisu_motoki@example.com	男	40	1979/12/3	既婚	岐阜県	090-4917-7180	ソフトバンク	右ルー・ルー攻め派
藤田 奈月	ふじた なつき	fujita_natsuki@example.com	女	28	1992/1/5	既婚	愛知県	090-1117-3968	ドコモ	右ルー・せき止め派
柴田 憲一	しばた けんいち	shibata_kenichi@example.com	男	78	1941/12/16	既婚	宮崎県	090-  13-7227	ドコモ	ぶっかけ・せき止め派
竹原 真一	たけはら しんいち	takehara_shinichi@example.com	男	28	1991/7/12	既婚	福島県	080-5804-7879	ドコモ	右ルー・せき止め派
三輪 たまき	みわ たまき	miwa_tamaki@example.com	女	42	1977/8/14	既婚	山梨県	080-4901-  96	ドコモ	左ルー・せき止め派
堀川 美帆	ほりかわ みほ	horikawa_miho@example.com	女	78	1941/8/6	既婚	福岡県	090-5660-5431	ドコモ	別盛り・混ぜ混ぜ派
中田 秀隆	なかた ひでたか	nakata_hidetaka@example.com	男	42	1977/7/1	既婚	東京都	090-3781- 325	au	手前ルー・ルー攻め派
森下 勇一	もりした ゆういち	morishita_yuuichi@example.com	男	32	1987/10/6	未婚	東京都	080-9715-7757	ドコモ	左ルー・ルー攻め派
菅 正義	すが まさよし	suga_masayoshi@example.com	男	63	1956/7/16	既婚	大阪府	090-7769-9353	au	左ルー・ルー攻め派
岩井 三郎	いわい さぶろう	iwai_saburou@example.com	男	64	1956/2/16	既婚	福岡県	090- 258-1070	au	ぶっかけ・ルー攻め派
照井 恵望子	てるい えみこ	terui_emiko@example.com	女	69	1950/9/6	既婚	青森県	090-1724-4042	ソフトバンク	ぶっかけ・ナン派
橋爪 人志	はしづめ ひとし	hashidume_hitoshi@example.com	男	75	1944/12/14	既婚	埼玉県	090-1448-9315	ドコモ	左ルー・せき止め派
平塚 智花	ひらつか ともか	hiratsuka_tomoka@example.com	女	27	1992/9/14	未婚	熊本県	080-3113-5535	ドコモ	手前ルー・ルー攻め派
江原 郁恵	えはら いくえ	ehara_ikue@example.com	女	70	1949/4/23	既婚	東京都	090-8591-7577	ソフトバンク	ぶっかけ・混ぜ混ぜ派
三沢 結子	みさわ ゆうこ	misawa_yuuko@example.com	女	68	1951/7/29	既婚	山口県	080- 621-8445	ドコモ	奥ルー・ナン派
川井 未來	かわい みらい	kawai_mirai@example.com	女	36	1983/9/24	既婚	岡山県	090-7004-8107	au	ぶっかけ・混ぜ混ぜ派
永島 薫	ながしま かおる	nagashima_kaoru@example.com	女	24	1996/1/16	未婚	宮城県	090-1562-5724	ドコモ	ぶっかけ・ルー攻め派
河田 遥	かわた はるか	kawata_haruka@example.com	女	51	1968/5/26	既婚	沖縄県	080-3201-4021	ドコモ	右ルー・混ぜ混ぜ派
村上 兼	むらかみ けん	murakami_ken@example.com	男	56	1964/2/20	既婚	愛知県	090-5749-9440	ドコモ	左ルー・せき止め派
小幡 獅童	おばた しどう	obata_shidou@example.com	男	71	1948/12/5	既婚	沖縄県	080-2879-9658	ドコモ	左ルー・ルー攻め派
橘 三省	たちばな さんせい	tachibana_sansei@example.com	男	73	1946/7/20	既婚	群馬県	080-6699-7222	ソフトバンク	手前ルー・混ぜ混ぜ派
土居 敏和	どい としかず	doi_toshikazu@example.com	男	20	1999/5/15	既婚	大阪府	080- 719-2257	ドコモ	手前ルー・せき止め派
亀田 麻由子	かめだ まゆこ	kameda_mayuko@example.com	女	44	1975/10/23	既婚	愛知県	080-3674-3774	au	手前ルー・ルー攻め派
田村 隼士	たむら しゅんじ	tamura_shunji@example.com	男	73	1946/11/18	既婚	福岡県	080- 679- 133	ソフトバンク	左ルー・ルー攻め派
水口 浩正	みずぐち ひろまさ	mizuguchi_hiromasa@example.com	男	40	1979/11/10	既婚	大阪府	090-4748-5094	ドコモ	手前ルー・混ぜ混ぜ派
徳重 季衣	とくしげ としえ	tokushige_toshie@example.com	女	76	1944/2/8	既婚	岐阜県	090-2778-4949	ドコモ	右ルー・別口派
哀川 友香	あいかわ ともか	aikawa_tomoka@example.com	女	69	1950/7/14	既婚	神奈川県	090-8723-3909	au	右ルー・別口派
石崎 まひる	いしざき まひる	ishizaki_mahiru@example.com	女	79	1940/8/6	既婚	愛知県	080-2330-3958	ドコモ	奥ルー・混ぜ混ぜ派
山上 隼士	やまがみ しゅんじ	yamagami_shunji@example.com	男	31	1989/2/21	既婚	東京都	080-4224-  98	ドコモ	奥ルー・ルー攻め派
境 雅彦	さかい まさひこ	sakai_masahiko@example.com	男	42	1977/10/7	未婚	山口県	090- 511-5242	ドコモ	左ルー・混ぜ混ぜ派
伊藤 米蔵	いとう よねぞう	itou_yonezou@example.com	男	72	1947/12/7	既婚	鹿児島県	080-6673-2141	ドコモ	手前ルー・せき止め派
貫地谷 千佳子	かんじや ちかこ	kanjiya_chikako@example.com	女	44	1975/6/8	既婚	熊本県	090-4580-9864	ソフトバンク	ぶっかけ・ルー攻め派
対馬 晴臣	つしま はるおみ	tsushima_haruomi@example.com	男	52	1967/11/5	既婚	福岡県	090-7243-  48	ドコモ	別盛り・せき止め派
野原 光	のはら ひかる	nohara_hikaru@example.com	男	39	1980/3/26	未婚	静岡県	090-2074-8525	ソフトバンク	右ルー・ルー攻め派
村上 昌代	むらかみ まさよ	murakami_masayo@example.com	女	26	1993/11/29	既婚	長野県	090-3528-7774	ドコモ	ぶっかけ・混ぜ混ぜ派
長瀬 宏行	ながせ ひろゆき	nagase_hiroyuki@example.com	男	35	1984/3/30	既婚	愛知県	080-4188-2464	au	別盛り・せき止め派
唐沢 法嗣	からさわ ほうし	karasawa_houshi@example.com	男	45	1975/1/5	未婚	富山県	080-5785-2537	ソフトバンク	左ルー・別口派
小沼 隆博	こぬま たかひろ	konuma_takahiro@example.com	男	62	1957/9/22	既婚	埼玉県	080-8920-4003	ドコモ	ぶっかけ・せき止め派
村中 璃奈子	むらなか りなこ	muranaka_rinako@example.com	女	38	1981/12/13	未婚	兵庫県	090-8698-9006	au	奥ルー・別口派
西井 友以乃	にしい ゆいの	nishii_yuino@example.com	女	44	1975/8/18	既婚	山形県	090-7504-7961	ドコモ	ぶっかけ・ルー攻め派
玉田 友香	たまだ ともか	tamada_tomoka@example.com	女	35	1984/9/27	未婚	福岡県	090- 103- 269	ドコモ	左ルー・せき止め派
清野 一	きよの はじめ	kiyono_hajime@example.com	男	54	1965/3/7	既婚	北海道	090-7490-2066	ドコモ	手前ルー・ルー攻め派
宮崎 優	みやざき ゆう	miyazaki_yuu@example.com	女	55	1964/5/10	既婚	山梨県	090- 634-2497	ドコモ	手前ルー・せき止め派
岸 あい	きし あい	kishi_ai@example.com	女	54	1965/12/21	既婚	埼玉県	090- 235-  91	ソフトバンク	左ルー・ルー攻め派
薬師丸 基祐	やくしまる きすけ	yakushimaru_kisuke@example.com	男	79	1940/9/3	既婚	宮崎県	080-2436-2038	au	奥ルー・ナン派
木村 さゆり	きむら さゆり	kimura_sayuri@example.com	女	72	1947/9/17	既婚	愛媛県	080-8621-2647	ドコモ	奥ルー・別口派
都築 京子	つづき きょうこ	tsuduki_kyouko@example.com	女	69	1950/10/8	既婚	東京都	080-8785-8307	ドコモ	左ルー・ルー攻め派
奥貫 恭子	おくぬき きょうこ	okunuki_kyouko@example.com	女	76	1943/5/24	既婚	福島県	090-4889-5792	ドコモ	左ルー・ルー攻め派
高梨 賢治	たかなし けんじ	takanashi_kenji@example.com	男	41	1978/7/23	未婚	神奈川県	090-7436-2582	au	左ルー・せき止め派
吉岡 優	よしおか ゆう	yoshioka_yuu@example.com	男	36	1983/11/10	未婚	東京都	080-7282-9856	ソフトバンク	左ルー・せき止め派
若松 鉄二	わかまつ てつじ	wakamatsu_tetsuji@example.com	男	29	1990/5/18	既婚	熊本県	090-8852-6087	ドコモ	ぶっかけ・ルー攻め派
井田 恵子	いだ けいこ	ida_keiko@example.com	女	43	1976/4/23	既婚	群馬県	090-4804-9441	ドコモ	右ルー・ルー攻め派
野島 明	のじま あきら	nojima_akira@example.com	男	68	1951/4/25	既婚	長崎県	090-1116-3172	au	奥ルー・別口派
平賀 涼	ひらが りょう	hiraga_ryou@example.com	女	28	1991/7/26	既婚	千葉県	090- 289-9261	ドコモ	右ルー・せき止め派
三宅 碧海	みやけ おうが	miyake_ouga@example.com	男	62	1957/8/12	既婚	千葉県	080-8515-   2	au	手前ルー・混ぜ混ぜ派
本橋 景子	もとはし けいこ	motohashi_keiko@example.com	女	52	1967/8/1	既婚	群馬県	080-4794-9798	au	右ルー・混ぜ混ぜ派
倉田 璃子	くらた りこ	kurata_riko@example.com	女	45	1974/5/25	既婚	沖縄県	080-2689-1914	au	ぶっかけ・ルー攻め派
前野 ひろ子	まえの ひろこ	maeno_hiroko@example.com	女	70	1949/12/28	既婚	神奈川県	080-9306-6200	ドコモ	奥ルー・混ぜ混ぜ派
松沢 美紀	まつざわ みき	matsuzawa_miki@example.com	女	33	1986/6/1	既婚	新潟県	090-8271-4917	ドコモ	別盛り・ナン派
秋本 徹	あきもと とおる	akimoto_tooru@example.com	男	35	1984/5/30	既婚	長野県	080-9215-4989	au	別盛り・ルー攻め派
池内 慶二	いけうち けいじ	ikeuchi_keiji@example.com	男	49	1970/12/3	既婚	兵庫県	090-8470-8214	ドコモ	奥ルー・せき止め派
松島 光	まつしま ひかる	matsushima_hikaru@example.com	男	57	1962/3/15	既婚	岡山県	080- 864-6408	au	別盛り・混ぜ混ぜ派
寺尾 千佳子	てらお ちかこ	terao_chikako@example.com	女	67	1952/8/10	既婚	愛知県	090-6619-4868	au	右ルー・ルー攻め派
秋山 浩正	あきやま ひろまさ	akiyama_hiromasa@example.com	男	77	1943/2/1	既婚	群馬県	080-8743-8039	ドコモ	別盛り・ナン派
奈良 正義	なら まさよし	nara_masayoshi@example.com	男	26	1993/6/14	未婚	島根県	090-3972-9840	ドコモ	右ルー・ルー攻め派
渡辺 なつみ	わたなべ なつみ	watanabe_natsumi@example.com	女	56	1963/8/2	既婚	岩手県	090-4172-4177	ソフトバンク	左ルー・混ぜ混ぜ派
牧野 ヒロ	まきの ひろ	makino_hiro@example.com	男	35	1984/6/22	既婚	大阪府	080- 652-6759	ソフトバンク	手前ルー・ルー攻め派
上山 郁恵	かみやま いくえ	kamiyama_ikue@example.com	女	50	1969/9/7	既婚	宮崎県	090-7311-8567	au	奥ルー・混ぜ混ぜ派
薬師丸 ノブヒコ	やくしまる のぶひこ	yakushimaru_nobuhiko@example.com	男	41	1978/3/18	既婚	広島県	080-9453-3403	ドコモ	左ルー・ルー攻め派
草野 涼子	くさの りょうこ	kusano_ryouko@example.com	女	38	1981/6/24	既婚	兵庫県	080-1272-8019	ドコモ	ぶっかけ・せき止め派
上原 明	うえはら あきら	uehara_akira@example.com	男	42	1977/4/15	既婚	青森県	080-2101-7593	ドコモ	手前ルー・ルー攻め派
結城 晴臣	ゆうき はるおみ	yuuki_haruomi@example.com	男	71	1948/4/4	既婚	北海道	080- 533-5259	ソフトバンク	ぶっかけ・せき止め派
久野 彩	ひさの あや	hisano_aya@example.com	女	55	1964/3/28	既婚	茨城県	080-5552-9901	ソフトバンク	左ルー・ルー攻め派
川瀬 晋也	かわせ しんや	kawase_shinya@example.com	男	73	1946/12/21	既婚	岩手県	080-2523-9605	au	ぶっかけ・混ぜ混ぜ派
川端 一徳	かわばた いっとく	kawabata_ittoku@example.com	男	78	1941/3/18	既婚	東京都	080-5049-2333	ソフトバンク	ぶっかけ・ナン派
松岡 寛	まつおか ひろし	matsuoka_hiroshi@example.com	男	66	1953/12/10	既婚	奈良県	080-6434-8741	ソフトバンク	ぶっかけ・せき止め派
